FrameNum , Door_Status,Screen_Status,Light_Status,Agent,Open_Door_Inside,Close_Door_Inside,Open_Door_Outside,Close_Door_Outside,Power_Monitor,Touch_Mouse,Touch_Keyboard,Touch_Switch,Conversation,Pick_Up,Walk_By
1320,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1321,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1419,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1426,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1431,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1482,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1518,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1546,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1557,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1598,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1710,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1730,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1759,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1771,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1777,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1963,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1992,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2035,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2050,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2070,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2105,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2151,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2191,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2203,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2204,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2204,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
2254,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2269,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
2347,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2358,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2363,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2434,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2460,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2462,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2490,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
2518,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2538,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2569,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2579,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2599,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2601,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2646,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2757,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2793,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
2795,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2857,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2878,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2897,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2899,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2954,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2960,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2965,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
2970,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3087,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3115,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3117,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3155,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3167,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3173,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3182,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3199,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
3251,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
3255,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3260,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
3265,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3399,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3430,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
3432,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3485,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
3486,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3527,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3540,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3567,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
3578,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3582,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3584,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3617,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3630,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3641,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3701,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3801,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3829,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3831,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3883,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
3918,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
3948,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3951,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
3970,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3975,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
4125,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
4134,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4151,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4186,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
4188,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4232,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
4234,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4282,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
4290,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4343,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
4350,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4498,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4500,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4544,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
4556,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4558,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4560,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4586,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4609,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4629,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4653,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4654,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4655,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4674,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4692,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
4720,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4731,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
4740,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4795,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
4849,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4878,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4890,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4926,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
4928,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4988,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4988,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
5050,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
5052,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5081,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
5104,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5120,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5169,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
5178,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5180,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
5208,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5244,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5260,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5264,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5266,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5268,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5334,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5346,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5385,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5523,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5553,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5555,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5562,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5575,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5577,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5599,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5610,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5629,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
5635,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5682,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5684,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5707,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5737,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5759,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5760,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5791,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
5832,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
5842,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5880,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
5911,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
6004,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
6014,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6022,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
6052,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6054,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6107,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
6109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6136,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
6145,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6188,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
6232,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
6242,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6251,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
6287,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
6295,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6336,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
6350,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6356,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
6360,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6384,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
6386,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6429,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
6438,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6445,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
6452,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6468,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
6470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6519,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6530,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6572,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6573,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6603,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6613,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6634,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6648,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6670,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6680,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6684,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6686,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6717,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
6735,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6740,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
6750,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6754,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
6854,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6935,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6937,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6984,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
6995,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7000,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
7035,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
7037,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7078,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
7088,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7094,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7120,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
7151,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
7245,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
7277,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
7289,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7326,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
7336,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7345,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7362,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
7364,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7397,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7423,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7455,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7460,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7490,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7530,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7540,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7647,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7658,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7669,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7692,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7733,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7743,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7745,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7795,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7795,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7816,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7844,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7850,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7870,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7879,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7886,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
